# ANILA optional local-model compose image inventory (machine-readable TSV).
# Columns: service<TAB>image<TAB>activation
# This inventory is NOT part of the 13-image formal platform closure. It is
# used only when WITH_MODELS=1 and records default vs intranet-profile scope.
# RULE: model Compose service/image/profile changes must update this file and
# pass infra/ci/check-airgap-image-inventory.sh in the same change.
gpt-oss-20b	tensorrt-llm-hf:1.3.0rc10	default
gemma4	vllm-gemma4:latest	default
nv-embed-triton	tritonserver:25.04-nv-embed-v2	default
nv-embed-proxy	embedding-proxy:migration	default
flux2-dev	flux2-dev:bf16	default
flux2-dev-agent	anila-flux-agent:latest	default
gemma-4-26b-a4b	vllm/vllm-openai:v0.22.1-cu129-ubuntu2404	profile:intranet
gemma-4-12b	vllm/vllm-openai:v0.22.1-cu129-ubuntu2404	profile:intranet
gpt-oss-120b	vllm/vllm-openai:v0.22.1-cu129-ubuntu2404	profile:intranet
